No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
19,2010,1,1,18,,-18,-5.0,1016.0,NE,1.79,0,0
102,2010,1,5,5,28.0,-27,-16.0,1034.0,NE,4.92,0,0
103,2010,1,5,6,27.0,-26,-16.0,1035.0,NE,8.05,0,0
104,2010,1,5,7,27.0,-27,-16.0,1034.0,NE,13.86,0,0
105,2010,1,5,8,27.0,-26,-16.0,1035.0,NE,18.78,0,0
106,2010,1,5,9,29.0,-26,-15.0,1035.0,NE,24.59,0,0
107,2010,1,5,10,36.0,-25,-14.0,1035.0,NE,29.51,0,0
108,2010,1,5,11,30.0,-25,-13.0,1035.0,NE,34.43,0,0
109,2010,1,5,12,27.0,-25,-12.0,1034.0,NE,39.35,0,0
110,2010,1,5,13,39.0,-24,-11.0,1032.0,NE,41.14,0,0
122,2010,1,6,1,77.0,-25,-14.0,1033.0,NE,4.02,0,0
123,2010,1,6,2,50.0,-26,-14.0,1034.0,NE,8.04,0,0
124,2010,1,6,3,44.0,-26,-14.0,1033.0,NE,13.85,0,0
125,2010,1,6,4,27.0,-26,-14.0,1033.0,NE,17.87,0,0
126,2010,1,6,5,28.0,-26,-14.0,1033.0,NE,23.68,0,0
127,2010,1,6,6,21.0,-26,-14.0,1033.0,NE,28.6,0,0
128,2010,1,6,7,25.0,-26,-15.0,1034.0,NE,33.52,0,0
129,2010,1,6,8,20.0,-26,-14.0,1034.0,NE,39.33,0,0
130,2010,1,6,9,29.0,-25,-13.0,1035.0,NE,44.25,0,0
131,2010,1,6,10,34.0,-25,-12.0,1035.0,NE,50.06,0,0
132,2010,1,6,11,42.0,-24,-11.0,1035.0,NE,54.98,0,0
133,2010,1,6,12,28.0,-24,-10.0,1034.0,NE,59.0,0,0
152,2010,1,7,7,23.0,-25,-13.0,1036.0,NE,4.92,0,0
163,2010,1,7,18,54.0,-19,-11.0,1032.0,NE,0.89,0,0
165,2010,1,7,20,106.0,-19,-15.0,1032.0,NE,1.79,0,0
171,2010,1,8,2,275.0,-20,-16.0,1031.0,NE,0.89,0,0
176,2010,1,8,7,71.0,-16,-13.0,1029.0,NE,0.89,0,0
179,2010,1,8,10,135.0,-17,-10.0,1030.0,NE,0.89,0,0
202,2010,1,9,9,84.0,-18,-9.0,1029.0,NE,5.81,0,0
203,2010,1,9,10,73.0,-17,-7.0,1029.0,NE,11.62,0,0
204,2010,1,9,11,66.0,-17,-6.0,1030.0,NE,17.43,0,0
205,2010,1,9,12,40.0,-16,-6.0,1029.0,NE,23.24,0,0
206,2010,1,9,13,49.0,-16,-5.0,1029.0,NE,28.16,0,0
207,2010,1,9,14,50.0,-15,-4.0,1029.0,NE,33.08,0,0
208,2010,1,9,15,49.0,-14,-4.0,1028.0,NE,37.1,0,0
209,2010,1,9,16,41.0,-15,-4.0,1029.0,NE,38.89,0,0
211,2010,1,9,18,45.0,-15,-7.0,1030.0,NE,3.13,0,0
214,2010,1,9,21,50.0,-15,-6.0,1032.0,NE,3.13,0,0
227,2010,1,10,10,50.0,-16,-7.0,1033.0,NE,4.02,0,0
245,2010,1,11,4,17.0,-21,-11.0,1035.0,NE,4.02,0,0
247,2010,1,11,6,16.0,-22,-12.0,1035.0,NE,4.92,0,0
266,2010,1,12,1,21.0,-22,-14.0,1031.0,NE,1.79,0,0
268,2010,1,12,3,26.0,-24,-18.0,1030.0,NE,1.79,0,0
269,2010,1,12,4,15.0,-24,-13.0,1030.0,NE,3.58,0,0
312,2010,1,13,23,65.0,-18,-13.0,1027.0,NE,0.89,0,0
313,2010,1,14,0,75.0,-18,-14.0,1026.0,NE,1.78,0,0
314,2010,1,14,1,257.0,-20,-15.0,1025.0,NE,2.67,0,0
335,2010,1,14,22,27.0,-17,-6.0,1032.0,NE,3.13,0,0
336,2010,1,14,23,20.0,-18,-6.0,1033.0,NE,8.05,0,0
337,2010,1,15,0,36.0,-19,-7.0,1034.0,NE,13.86,0,0
342,2010,1,15,5,13.0,-19,-9.0,1036.0,NE,7.15,0,0
343,2010,1,15,6,23.0,-20,-9.0,1037.0,NE,12.96,0,0
344,2010,1,15,7,26.0,-19,-9.0,1037.0,NE,18.77,0,0
345,2010,1,15,8,27.0,-19,-8.0,1038.0,NE,22.79,0,0
346,2010,1,15,9,30.0,-19,-8.0,1039.0,NE,28.6,0,0
347,2010,1,15,10,28.0,-19,-7.0,1039.0,NE,35.75,0,0
348,2010,1,15,11,26.0,-18,-6.0,1039.0,NE,41.56,0,0
349,2010,1,15,12,26.0,-18,-5.0,1039.0,NE,45.58,0,0
362,2010,1,16,1,211.0,-16,-13.0,1036.0,NE,0.89,0,0
364,2010,1,16,3,271.0,-16,-13.0,1035.0,NE,0.89,0,0
365,2010,1,16,4,249.0,-15,-12.0,1035.0,NE,1.78,0,0
378,2010,1,16,17,150.0,-11,-4.0,1031.0,NE,0.89,0,0
404,2010,1,17,19,250.0,-10,-6.0,1027.0,NE,0.89,0,0
408,2010,1,17,23,313.0,-12,-9.0,1027.0,NE,0.89,0,0
414,2010,1,18,5,361.0,-13,-11.0,1027.0,NE,1.79,0,0
423,2010,1,18,14,154.0,-9,1.0,1025.0,NE,1.79,0,0
447,2010,1,19,14,305.0,-4,1.0,1018.0,NE,0.89,0,0
450,2010,1,19,17,357.0,-2,2.0,1018.0,NE,0.89,0,0
470,2010,1,20,13,29.0,-13,-1.0,1033.0,NE,8.05,0,0
472,2010,1,20,15,23.0,-15,-1.0,1032.0,NE,5.81,0,0
492,2010,1,21,11,26.0,-22,-7.0,1038.0,NE,3.13,0,0
494,2010,1,21,13,24.0,-21,-5.0,1035.0,NE,3.13,0,0
496,2010,1,21,15,17.0,-20,-3.0,1034.0,NE,1.79,0,0
502,2010,1,21,21,61.0,-17,-8.0,1035.0,NE,0.89,0,0
561,2010,1,24,8,,-16,-13.0,1019.0,NE,1.79,0,0
609,2010,1,26,8,,-18,-13.0,1028.0,NE,1.79,0,0
621,2010,1,26,20,274.0,-11,-5.0,1020.0,NE,0.89,0,0
633,2010,1,27,8,147.0,-11,-3.0,1015.0,NE,3.13,0,0
634,2010,1,27,9,158.0,-10,-1.0,1015.0,NE,6.26,0,0
635,2010,1,27,10,153.0,-9,1.0,1015.0,NE,9.39,0,0
650,2010,1,28,1,22.0,-15,-1.0,1023.0,NE,7.15,0,0
651,2010,1,28,2,27.0,-15,-1.0,1024.0,NE,12.07,0,0
652,2010,1,28,3,34.0,-15,-2.0,1025.0,NE,16.09,0,0
653,2010,1,28,4,27.0,-15,-2.0,1025.0,NE,21.01,0,0
654,2010,1,28,5,32.0,-15,-3.0,1025.0,NE,25.03,0,0
670,2010,1,28,21,25.0,-21,-4.0,1028.0,NE,0.89,0,0
676,2010,1,29,3,20.0,-19,-8.0,1026.0,NE,1.79,0,0
734,2010,1,31,13,16.0,-17,5.0,1024.0,NE,4.02,0,0
735,2010,1,31,14,18.0,-18,6.0,1024.0,NE,7.15,0,0
739,2010,1,31,18,24.0,-17,1.0,1024.0,NE,1.79,0,0
740,2010,1,31,19,54.0,-15,-1.0,1025.0,NE,2.68,0,0
746,2010,2,1,1,70.0,-9,-4.0,1027.0,NE,0.89,0,0
747,2010,2,1,2,67.0,-9,-4.0,1027.0,NE,1.78,0,0
753,2010,2,1,8,64.0,-10,-6.0,1028.0,NE,0.89,0,0
772,2010,2,2,3,72.0,-11,-10.0,1028.0,NE,1.79,0,0
774,2010,2,2,5,97.0,-13,-11.0,1028.0,NE,0.89,0,0
778,2010,2,2,9,92.0,-14,-6.0,1029.0,NE,4.92,0,0
779,2010,2,2,10,55.0,-18,-5.0,1029.0,NE,10.73,0,0
780,2010,2,2,11,36.0,-20,-3.0,1029.0,NE,14.75,0,0
781,2010,2,2,12,27.0,-20,-2.0,1028.0,NE,16.54,0,0
782,2010,2,2,13,25.0,-20,-1.0,1028.0,NE,18.33,0,0
786,2010,2,2,17,43.0,-19,-2.0,1027.0,NE,1.79,0,0
790,2010,2,2,21,70.0,-16,-7.0,1029.0,NE,0.89,0,0
795,2010,2,3,2,62.0,-18,-10.0,1030.0,NE,0.89,0,0
803,2010,2,3,10,72.0,-19,-4.0,1030.0,NE,3.13,0,0
828,2010,2,4,11,29.0,-20,-2.0,1028.0,NE,4.02,0,0
831,2010,2,4,14,28.0,-22,1.0,1025.0,NE,1.79,0,0
832,2010,2,4,15,61.0,-23,1.0,1024.0,NE,4.92,0,0
833,2010,2,4,16,64.0,-23,1.0,1024.0,NE,6.71,0,0
834,2010,2,4,17,80.0,-22,0.0,1024.0,NE,8.5,0,0
835,2010,2,4,18,91.0,-20,-4.0,1025.0,NE,11.63,0,0
836,2010,2,4,19,79.0,-22,-3.0,1026.0,NE,14.76,0,0
837,2010,2,4,20,48.0,-22,-3.0,1026.0,NE,15.65,0,0
840,2010,2,4,23,63.0,-19,-4.0,1027.0,NE,1.79,0,0
841,2010,2,5,0,48.0,-19,-4.0,1027.0,NE,4.92,0,0
842,2010,2,5,1,54.0,-19,-4.0,1027.0,NE,8.05,0,0
844,2010,2,5,3,47.0,-19,-5.0,1028.0,NE,1.79,0,0
846,2010,2,5,5,105.0,-13,-6.0,1028.0,NE,0.89,0,0
849,2010,2,5,8,126.0,-19,-6.0,1030.0,NE,3.13,0,0
850,2010,2,5,9,114.0,-18,-5.0,1031.0,NE,4.92,0,0
897,2010,2,7,8,90.0,-6,-5.0,1024.0,NE,1.79,0,0
912,2010,2,7,23,160.0,-7,-5.0,1020.0,NE,1.79,0,0
916,2010,2,8,3,185.0,-8,-6.0,1020.0,NE,0.89,0,0
918,2010,2,8,5,180.0,-6,-4.0,1019.0,NE,1.79,0,0
948,2010,2,9,11,91.0,-17,3.0,1025.0,NE,3.13,0,0
949,2010,2,9,12,58.0,-18,4.0,1025.0,NE,4.92,0,0
958,2010,2,9,21,182.0,-8,-1.0,1026.0,NE,3.13,0,0
959,2010,2,9,22,156.0,-15,1.0,1026.0,NE,8.05,0,0
960,2010,2,9,23,27.0,-18,1.0,1027.0,NE,12.07,0,0
961,2010,2,10,0,16.0,-20,0.0,1028.0,NE,16.09,0,0
962,2010,2,10,1,22.0,-19,0.0,1028.0,NE,21.01,0,0
963,2010,2,10,2,21.0,-21,-1.0,1028.0,NE,25.03,0,0
964,2010,2,10,3,6.0,-21,-1.0,1029.0,NE,29.95,0,0
965,2010,2,10,4,8.0,-22,-2.0,1029.0,NE,34.87,0,0
966,2010,2,10,5,8.0,-22,-2.0,1030.0,NE,39.79,0,0
967,2010,2,10,6,8.0,-22,-3.0,1030.0,NE,45.6,0,0
968,2010,2,10,7,10.0,-22,-3.0,1031.0,NE,51.41,0,0
969,2010,2,10,8,9.0,-23,-4.0,1032.0,NE,58.56,0,0
970,2010,2,10,9,20.0,-23,-4.0,1033.0,NE,65.71,0,0
971,2010,2,10,10,14.0,-22,-3.0,1033.0,NE,71.52,0,0
972,2010,2,10,11,16.0,-24,-2.0,1032.0,NE,77.33,0,0
973,2010,2,10,12,14.0,-24,-1.0,1032.0,NE,83.14,0,0
975,2010,2,10,14,7.0,-26,0.0,1030.0,NE,5.81,0,0
976,2010,2,10,15,8.0,-22,0.0,1030.0,NE,11.62,0,0
977,2010,2,10,16,12.0,-22,0.0,1030.0,NE,17.43,0,0
978,2010,2,10,17,15.0,-23,-1.0,1030.0,NE,24.58,0,0
979,2010,2,10,18,8.0,-23,-1.0,1031.0,NE,31.73,0,0
980,2010,2,10,19,11.0,-22,-1.0,1032.0,NE,38.88,0,0
981,2010,2,10,20,18.0,-22,-2.0,1032.0,NE,44.69,0,0
982,2010,2,10,21,16.0,-21,-2.0,1033.0,NE,50.5,0,0
983,2010,2,10,22,11.0,-22,-2.0,1034.0,NE,56.31,0,0
984,2010,2,10,23,10.0,-21,-3.0,1035.0,NE,61.23,0,0
985,2010,2,11,0,11.0,-22,-3.0,1035.0,NE,67.04,0,0
986,2010,2,11,1,10.0,-22,-3.0,1035.0,NE,72.85,0,0
987,2010,2,11,2,10.0,-22,-3.0,1035.0,NE,77.77,0,0
988,2010,2,11,3,12.0,-22,-4.0,1035.0,NE,82.69,0,0
989,2010,2,11,4,12.0,-23,-4.0,1034.0,NE,89.84,0,0
990,2010,2,11,5,10.0,-23,-5.0,1034.0,NE,95.65,0,0
996,2010,2,11,11,12.0,-22,-3.0,1037.0,NE,5.81,0,0
997,2010,2,11,12,12.0,-22,-3.0,1036.0,NE,11.62,0,0
999,2010,2,11,14,18.0,-23,-2.0,1035.0,NE,4.02,0,0
1000,2010,2,11,15,13.0,-23,-2.0,1035.0,NE,7.15,0,0
1002,2010,2,11,17,17.0,-23,-2.0,1035.0,NE,4.92,0,0
1003,2010,2,11,18,19.0,-22,-3.0,1035.0,NE,8.05,0,0
1004,2010,2,11,19,22.0,-21,-3.0,1036.0,NE,11.18,0,0
1008,2010,2,11,23,13.0,-21,-5.0,1038.0,NE,4.02,0,0
1009,2010,2,12,0,17.0,-22,-5.0,1038.0,NE,9.83,0,0
1010,2010,2,12,1,22.0,-22,-6.0,1038.0,NE,14.75,0,0
1011,2010,2,12,2,16.0,-22,-6.0,1038.0,NE,18.77,0,0
1012,2010,2,12,3,16.0,-22,-7.0,1037.0,NE,22.79,0,0
1018,2010,2,12,9,21.0,-22,-6.0,1038.0,NE,4.02,0,0
1019,2010,2,12,10,26.0,-22,-5.0,1037.0,NE,7.15,0,0
1025,2010,2,12,16,13.0,-23,-1.0,1032.0,NE,1.79,0,0
1026,2010,2,12,17,11.0,-23,-1.0,1031.0,NE,3.58,0,0
1027,2010,2,12,18,19.0,-22,-3.0,1031.0,NE,5.37,0,0
1032,2010,2,12,23,69.0,-18,-8.0,1032.0,NE,0.89,0,0
1057,2010,2,14,0,351.0,-13,-7.0,1028.0,NE,0.89,0,0
