No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
1,2010,1,1,0,,-21,-11.0,1021.0,NW,1.79,0,0
2,2010,1,1,1,,-21,-12.0,1020.0,NW,4.92,0,0
3,2010,1,1,2,,-21,-11.0,1019.0,NW,6.71,0,0
4,2010,1,1,3,,-21,-14.0,1019.0,NW,9.84,0,0
5,2010,1,1,4,,-20,-12.0,1018.0,NW,12.97,0,0
6,2010,1,1,5,,-19,-10.0,1017.0,NW,16.1,0,0
7,2010,1,1,6,,-19,-9.0,1017.0,NW,19.23,0,0
8,2010,1,1,7,,-19,-9.0,1017.0,NW,21.02,0,0
9,2010,1,1,8,,-19,-9.0,1017.0,NW,24.15,0,0
10,2010,1,1,9,,-20,-8.0,1017.0,NW,27.28,0,0
11,2010,1,1,10,,-19,-7.0,1017.0,NW,31.3,0,0
12,2010,1,1,11,,-18,-5.0,1017.0,NW,34.43,0,0
13,2010,1,1,12,,-19,-5.0,1015.0,NW,37.56,0,0
14,2010,1,1,13,,-18,-3.0,1015.0,NW,40.69,0,0
15,2010,1,1,14,,-18,-2.0,1014.0,NW,43.82,0,0
17,2010,1,1,16,,-19,-2.0,1015.0,NW,1.79,0,0
18,2010,1,1,17,,-18,-3.0,1015.0,NW,2.68,0,0
20,2010,1,1,19,,-17,-4.0,1017.0,NW,1.79,0,0
22,2010,1,1,21,,-17,-5.0,1018.0,NW,1.79,0,0
23,2010,1,1,22,,-17,-5.0,1018.0,NW,2.68,0,0
69,2010,1,3,20,71.0,-10,-9.0,1022.0,NW,4.02,26,0
70,2010,1,3,21,72.0,-11,-10.0,1023.0,NW,7.15,27,0
71,2010,1,3,22,76.0,-11,-9.0,1023.0,NW,11.17,0,0
72,2010,1,3,23,73.0,-12,-11.0,1023.0,NW,14.3,0,0
73,2010,1,4,0,79.0,-14,-12.0,1023.0,NW,16.09,0,0
74,2010,1,4,1,58.0,-16,-9.0,1023.0,NW,21.9,0,0
75,2010,1,4,2,25.0,-17,-10.0,1024.0,NW,29.95,0,0
76,2010,1,4,3,26.0,-18,-11.0,1024.0,NW,39.78,0,0
77,2010,1,4,4,28.0,-19,-11.0,1025.0,NW,48.72,0,0
78,2010,1,4,5,26.0,-20,-12.0,1026.0,NW,55.87,0,0
79,2010,1,4,6,20.0,-21,-12.0,1027.0,NW,64.81,0,0
80,2010,1,4,7,29.0,-21,-13.0,1027.0,NW,73.75,0,0
81,2010,1,4,8,26.0,-22,-13.0,1028.0,NW,80.9,0,0
82,2010,1,4,9,27.0,-22,-13.0,1029.0,NW,90.73,0,0
83,2010,1,4,10,27.0,-22,-12.0,1030.0,NW,100.56,0,0
84,2010,1,4,11,25.0,-23,-12.0,1031.0,NW,108.61,0,0
85,2010,1,4,12,29.0,-21,-11.0,1030.0,NW,117.55,0,0
86,2010,1,4,13,32.0,-20,-10.0,1030.0,NW,127.38,0,0
87,2010,1,4,14,28.0,-21,-10.0,1030.0,NW,136.32,0,0
88,2010,1,4,15,29.0,-21,-9.0,1030.0,NW,145.26,0,0
89,2010,1,4,16,30.0,-21,-9.0,1031.0,NW,152.41,0,0
90,2010,1,4,17,30.0,-20,-11.0,1032.0,NW,159.56,0,0
91,2010,1,4,18,28.0,-23,-11.0,1032.0,NW,165.37,0,0
92,2010,1,4,19,26.0,-21,-12.0,1033.0,NW,171.18,0,0
93,2010,1,4,20,31.0,-24,-12.0,1034.0,NW,180.12,0,0
94,2010,1,4,21,33.0,-24,-13.0,1034.0,NW,187.27,0,0
95,2010,1,4,22,29.0,-24,-13.0,1035.0,NW,195.32,0,0
96,2010,1,4,23,31.0,-26,-15.0,1035.0,NW,198.45,0,0
97,2010,1,5,0,30.0,-26,-17.0,1035.0,NW,201.58,0,0
98,2010,1,5,1,34.0,-26,-18.0,1035.0,NW,205.6,0,0
99,2010,1,5,2,27.0,-26,-19.0,1035.0,NW,208.73,0,0
100,2010,1,5,3,25.0,-27,-18.0,1035.0,NW,213.65,0,0
101,2010,1,5,4,28.0,-27,-19.0,1035.0,NW,218.57,0,0
112,2010,1,5,15,33.0,-23,-11.0,1031.0,NW,1.79,0,0
113,2010,1,5,16,50.0,-24,-11.0,1031.0,NW,3.58,0,0
114,2010,1,5,17,56.0,-23,-11.0,1031.0,NW,5.37,0,0
115,2010,1,5,18,59.0,-23,-11.0,1032.0,NW,7.16,0,0
116,2010,1,5,19,60.0,-22,-13.0,1033.0,NW,10.29,0,0
117,2010,1,5,20,84.0,-22,-12.0,1033.0,NW,13.42,0,0
118,2010,1,5,21,106.0,-24,-18.0,1033.0,NW,16.55,0,0
119,2010,1,5,22,66.0,-22,-13.0,1034.0,NW,20.57,0,0
120,2010,1,5,23,50.0,-22,-16.0,1033.0,NW,23.7,0,0
121,2010,1,6,0,56.0,-25,-17.0,1033.0,NW,26.83,0,0
134,2010,1,6,13,36.0,-22,-10.0,1033.0,NW,4.02,0,0
135,2010,1,6,14,48.0,-22,-9.0,1033.0,NW,5.81,0,0
