No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
25,2010,1,2,0,129.0,-16,-4.0,1020.0,SE,1.79,0,0
26,2010,1,2,1,148.0,-15,-4.0,1020.0,SE,2.68,0,0
27,2010,1,2,2,159.0,-11,-5.0,1021.0,SE,3.57,0,0
28,2010,1,2,3,181.0,-7,-5.0,1022.0,SE,5.36,1,0
29,2010,1,2,4,138.0,-7,-5.0,1022.0,SE,6.25,2,0
30,2010,1,2,5,109.0,-7,-6.0,1022.0,SE,7.14,3,0
31,2010,1,2,6,105.0,-7,-6.0,1023.0,SE,8.93,4,0
32,2010,1,2,7,124.0,-7,-5.0,1024.0,SE,10.72,0,0
33,2010,1,2,8,120.0,-8,-6.0,1024.0,SE,12.51,0,0
34,2010,1,2,9,132.0,-7,-5.0,1025.0,SE,14.3,0,0
35,2010,1,2,10,140.0,-7,-5.0,1026.0,SE,17.43,1,0
36,2010,1,2,11,152.0,-8,-5.0,1026.0,SE,20.56,0,0
37,2010,1,2,12,148.0,-8,-5.0,1026.0,SE,23.69,0,0
38,2010,1,2,13,164.0,-8,-5.0,1025.0,SE,27.71,0,0
39,2010,1,2,14,158.0,-9,-5.0,1025.0,SE,31.73,0,0
40,2010,1,2,15,154.0,-9,-5.0,1025.0,SE,35.75,0,0
41,2010,1,2,16,159.0,-9,-5.0,1026.0,SE,37.54,0,0
42,2010,1,2,17,164.0,-8,-5.0,1027.0,SE,39.33,0,0
43,2010,1,2,18,170.0,-8,-5.0,1027.0,SE,42.46,0,0
44,2010,1,2,19,149.0,-8,-5.0,1028.0,SE,44.25,0,0
45,2010,1,2,20,154.0,-7,-5.0,1028.0,SE,46.04,0,0
46,2010,1,2,21,164.0,-7,-5.0,1027.0,SE,49.17,1,0
47,2010,1,2,22,156.0,-8,-6.0,1028.0,SE,52.3,2,0
48,2010,1,2,23,126.0,-8,-6.0,1027.0,SE,55.43,3,0
49,2010,1,3,0,90.0,-7,-6.0,1027.0,SE,58.56,4,0
50,2010,1,3,1,63.0,-8,-6.0,1026.0,SE,61.69,5,0
51,2010,1,3,2,65.0,-8,-7.0,1026.0,SE,65.71,6,0
52,2010,1,3,3,55.0,-8,-7.0,1025.0,SE,68.84,7,0
53,2010,1,3,4,65.0,-8,-7.0,1024.0,SE,72.86,8,0
54,2010,1,3,5,83.0,-9,-8.0,1024.0,SE,76.88,9,0
55,2010,1,3,6,91.0,-10,-8.0,1024.0,SE,80.9,10,0
56,2010,1,3,7,86.0,-10,-9.0,1024.0,SE,84.92,11,0
57,2010,1,3,8,82.0,-10,-9.0,1024.0,SE,89.84,12,0
58,2010,1,3,9,86.0,-11,-9.0,1023.0,SE,93.86,13,0
59,2010,1,3,10,78.0,-11,-9.0,1023.0,SE,97.88,15,0
60,2010,1,3,11,98.0,-11,-9.0,1022.0,SE,102.8,16,0
61,2010,1,3,12,107.0,-11,-9.0,1021.0,SE,105.93,17,0
62,2010,1,3,13,90.0,-11,-9.0,1020.0,SE,111.74,19,0
63,2010,1,3,14,96.0,-11,-9.0,1020.0,SE,116.66,20,0
64,2010,1,3,15,95.0,-11,-9.0,1020.0,SE,121.58,21,0
65,2010,1,3,16,86.0,-11,-9.0,1020.0,SE,124.71,22,0
66,2010,1,3,17,70.0,-11,-9.0,1020.0,SE,127.84,23,0
172,2010,1,8,3,164.0,-19,-15.0,1030.0,SE,0.89,0,0
177,2010,1,8,8,66.0,-16,-12.0,1029.0,SE,0.89,0,0
178,2010,1,8,9,92.0,-16,-12.0,1030.0,SE,1.78,0,0
181,2010,1,8,12,198.0,-16,-9.0,1028.0,SE,3.13,0,0
182,2010,1,8,13,250.0,-15,-8.0,1026.0,SE,4.92,0,0
186,2010,1,8,17,212.0,-17,-8.0,1025.0,SE,0.89,0,0
306,2010,1,13,17,39.0,-19,-7.0,1028.0,SE,1.79,0,0
309,2010,1,13,20,96.0,-19,-10.0,1027.0,SE,1.79,0,0
