No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
16,2010,1,1,15,,-18,-1.0,1014.0,cv,0.89,0,0
21,2010,1,1,20,,-17,-5.0,1017.0,cv,0.89,0,0
24,2010,1,1,23,,-17,-5.0,1020.0,cv,0.89,0,0
67,2010,1,3,18,61.0,-11,-9.0,1021.0,cv,0.89,24,0
68,2010,1,3,19,53.0,-11,-9.0,1022.0,cv,1.78,25,0
111,2010,1,5,14,41.0,-22,-11.0,1032.0,cv,0.89,0,0
136,2010,1,6,15,49.0,-22,-8.0,1033.0,cv,0.89,0,0
140,2010,1,6,19,75.0,-22,-14.0,1034.0,cv,0.89,0,0
146,2010,1,7,1,130.0,-21,-16.0,1035.0,cv,0.45,0,0
147,2010,1,7,2,43.0,-22,-18.0,1036.0,cv,1.34,0,0
166,2010,1,7,21,159.0,-19,-14.0,1032.0,cv,0.45,0,0
167,2010,1,7,22,198.0,-21,-14.0,1032.0,cv,1.34,0,0
168,2010,1,7,23,190.0,-21,-16.0,1032.0,cv,2.23,0,0
173,2010,1,8,4,110.0,-18,-15.0,1030.0,cv,0.45,0,0
174,2010,1,8,5,100.0,-18,-15.0,1029.0,cv,1.34,0,0
180,2010,1,8,11,155.0,-16,-10.0,1029.0,cv,0.89,0,0
183,2010,1,8,14,200.0,-16,-8.0,1026.0,cv,0.89,0,0
184,2010,1,8,15,231.0,-16,-8.0,1025.0,cv,1.78,0,0
185,2010,1,8,16,250.0,-16,-8.0,1025.0,cv,2.67,0,0
187,2010,1,8,18,219.0,-17,-9.0,1026.0,cv,0.45,0,0
188,2010,1,8,19,227.0,-17,-11.0,1026.0,cv,1.34,0,0
189,2010,1,8,20,226.0,-17,-12.0,1026.0,cv,1.79,0,0
193,2010,1,9,0,165.0,-17,-13.0,1027.0,cv,0.89,0,0
215,2010,1,9,22,47.0,-15,-8.0,1033.0,cv,0.45,0,0
216,2010,1,9,23,66.0,-15,-8.0,1033.0,cv,0.9,0,0
242,2010,1,11,1,27.0,-17,-8.0,1035.0,cv,0.89,0,0
264,2010,1,11,23,15.0,-22,-12.0,1032.0,cv,0.89,0,0
265,2010,1,12,0,21.0,-22,-15.0,1031.0,cv,1.78,0,0
307,2010,1,13,18,59.0,-19,-8.0,1028.0,cv,0.45,0,0
308,2010,1,13,19,76.0,-20,-9.0,1028.0,cv,1.34,0,0
310,2010,1,13,21,95.0,-19,-13.0,1027.0,cv,0.89,0,0
311,2010,1,13,22,68.0,-18,-12.0,1027.0,cv,1.78,0,0
329,2010,1,14,16,72.0,-16,-4.0,1023.0,cv,0.89,0,0
351,2010,1,15,14,35.0,-16,-3.0,1037.0,cv,0.89,0,0
352,2010,1,15,15,36.0,-17,-3.0,1037.0,cv,1.78,0,0
353,2010,1,15,16,37.0,-17,-2.0,1037.0,cv,2.23,0,0
355,2010,1,15,18,83.0,-15,-6.0,1036.0,cv,0.89,0,0
356,2010,1,15,19,91.0,-15,-6.0,1037.0,cv,1.78,0,0
359,2010,1,15,22,94.0,-14,-10.0,1037.0,cv,0.89,0,0
360,2010,1,15,23,87.0,-15,-11.0,1036.0,cv,1.78,0,0
361,2010,1,16,0,141.0,-15,-11.0,1036.0,cv,2.67,0,0
363,2010,1,16,2,242.0,-16,-12.0,1036.0,cv,0.89,0,0
372,2010,1,16,11,120.0,-13,-6.0,1034.0,cv,0.89,0,0
374,2010,1,16,13,127.0,-12,-4.0,1031.0,cv,0.89,0,0
375,2010,1,16,14,128.0,-12,-3.0,1031.0,cv,1.78,0,0
376,2010,1,16,15,140.0,-12,-3.0,1030.0,cv,2.67,0,0
377,2010,1,16,16,148.0,-11,-3.0,1030.0,cv,3.56,0,0
379,2010,1,16,18,154.0,-12,-7.0,1031.0,cv,0.89,0,0
380,2010,1,16,19,197.0,-12,-7.0,1032.0,cv,1.78,0,0
381,2010,1,16,20,235.0,-12,-8.0,1032.0,cv,2.23,0,0
382,2010,1,16,21,261.0,-12,-9.0,1032.0,cv,3.12,0,0
386,2010,1,17,1,241.0,-14,-11.0,1032.0,cv,0.45,0,0
387,2010,1,17,2,205.0,-14,-11.0,1031.0,cv,1.34,0,0
395,2010,1,17,10,182.0,-12,-6.0,1030.0,cv,0.45,0,0
396,2010,1,17,11,230.0,-11,-5.0,1030.0,cv,1.34,0,0
397,2010,1,17,12,170.0,-11,-4.0,1029.0,cv,2.23,0,0
398,2010,1,17,13,172.0,-11,-3.0,1028.0,cv,3.12,0,0
399,2010,1,17,14,154.0,-10,-1.0,1027.0,cv,4.01,0,0
400,2010,1,17,15,166.0,-11,-1.0,1027.0,cv,4.46,0,0
405,2010,1,17,20,268.0,-11,-7.0,1027.0,cv,0.45,0,0
406,2010,1,17,21,317.0,-10,-7.0,1027.0,cv,0.9,0,0
407,2010,1,17,22,291.0,-11,-9.0,1027.0,cv,1.35,0,0
409,2010,1,18,0,282.0,-12,-10.0,1028.0,cv,0.89,0,0
424,2010,1,18,15,173.0,-9,1.0,1025.0,cv,0.89,0,0
427,2010,1,18,18,233.0,-7,-2.0,1025.0,cv,0.89,0,0
429,2010,1,18,20,435.0,-5,-2.0,1026.0,cv,0.89,0,0
432,2010,1,18,23,402.0,-6,-1.0,1026.0,cv,0.89,0,0
441,2010,1,19,8,297.0,-4,0.0,1021.0,cv,0.89,0,0
443,2010,1,19,10,323.0,-4,0.0,1021.0,cv,0.89,0,0
445,2010,1,19,12,301.0,-5,1.0,1020.0,cv,0.89,0,0
446,2010,1,19,13,310.0,-4,1.0,1019.0,cv,1.34,0,0
448,2010,1,19,15,313.0,-3,2.0,1018.0,cv,0.45,0,0
449,2010,1,19,16,336.0,-3,2.0,1018.0,cv,1.34,0,0
451,2010,1,19,18,485.0,-3,1.0,1018.0,cv,0.89,0,0
530,2010,1,23,1,24.0,-17,-8.0,1033.0,cv,0.89,0,0
550,2010,1,23,21,,-15,-3.0,1024.0,cv,0.89,0,0
554,2010,1,24,1,,-14,-7.0,1022.0,cv,0.45,0,0
558,2010,1,24,5,,-15,-10.0,1019.0,cv,0.89,0,0
560,2010,1,24,7,,-15,-12.0,1019.0,cv,0.89,0,0
562,2010,1,24,9,,-13,-7.0,1020.0,cv,0.89,0,0
563,2010,1,24,10,,-12,-4.0,1019.0,cv,1.78,0,0
564,2010,1,24,11,,-13,0.0,1019.0,cv,2.67,0,0
599,2010,1,25,22,,-18,-5.0,1030.0,cv,0.89,0,0
601,2010,1,26,0,,-16,-9.0,1030.0,cv,0.89,0,0
602,2010,1,26,1,,-16,-8.0,1029.0,cv,1.78,0,0
603,2010,1,26,2,,-16,-11.0,1029.0,cv,2.23,0,0
604,2010,1,26,3,,-16,-12.0,1029.0,cv,3.12,0,0
612,2010,1,26,11,,-15,-3.0,1027.0,cv,0.89,0,0
615,2010,1,26,14,90.0,-19,1.0,1023.0,cv,0.89,0,0
620,2010,1,26,19,231.0,-13,-3.0,1021.0,cv,0.89,0,0
623,2010,1,26,22,298.0,-11,-5.0,1020.0,cv,0.89,0,0
675,2010,1,29,2,25.0,-21,-4.0,1026.0,cv,0.89,0,0
677,2010,1,29,4,24.0,-20,-7.0,1025.0,cv,0.89,0,0
679,2010,1,29,6,10.0,-18,-10.0,1024.0,cv,0.89,0,0
699,2010,1,30,2,65.0,-15,-1.0,1020.0,cv,1.79,0,0
703,2010,1,30,6,22.0,-15,-5.0,1020.0,cv,0.89,0,0
705,2010,1,30,8,29.0,-15,-6.0,1021.0,cv,0.89,0,0
736,2010,1,31,15,17.0,-18,6.0,1024.0,cv,0.89,0,0
741,2010,1,31,20,71.0,-13,-1.0,1025.0,cv,0.89,0,0
748,2010,2,1,3,76.0,-9,-4.0,1027.0,cv,0.89,0,0
750,2010,2,1,5,68.0,-9,-5.0,1027.0,cv,0.89,0,0
752,2010,2,1,7,73.0,-10,-4.0,1027.0,cv,0.89,0,0
755,2010,2,1,10,72.0,-9,-2.0,1028.0,cv,0.89,0,0
770,2010,2,2,1,56.0,-11,-8.0,1028.0,cv,0.89,0,0
771,2010,2,2,2,87.0,-11,-9.0,1028.0,cv,1.34,0,0
773,2010,2,2,4,104.0,-12,-10.0,1028.0,cv,0.89,0,0
775,2010,2,2,6,96.0,-11,-9.0,1028.0,cv,0.89,0,0
783,2010,2,2,14,28.0,-20,0.0,1027.0,cv,1.79,0,0
784,2010,2,2,15,32.0,-22,0.0,1027.0,cv,2.68,0,0
785,2010,2,2,16,35.0,-22,1.0,1027.0,cv,3.57,0,0
789,2010,2,2,20,66.0,-19,-6.0,1029.0,cv,0.89,0,0
794,2010,2,3,1,71.0,-21,-8.0,1030.0,cv,0.89,0,0
796,2010,2,3,3,73.0,-17,-10.0,1030.0,cv,0.89,0,0
800,2010,2,3,7,132.0,-19,-11.0,1030.0,cv,0.89,0,0
801,2010,2,3,8,161.0,-18,-11.0,1030.0,cv,1.34,0,0
813,2010,2,3,20,87.0,-20,-4.0,1027.0,cv,0.89,0,0
816,2010,2,3,23,114.0,-21,-7.0,1028.0,cv,0.45,0,0
819,2010,2,4,2,102.0,-21,-9.0,1028.0,cv,0.89,0,0
820,2010,2,4,3,104.0,-19,-10.0,1028.0,cv,1.34,0,0
822,2010,2,4,5,33.0,-19,-12.0,1028.0,cv,0.89,0,0
839,2010,2,4,22,82.0,-21,-3.0,1027.0,cv,0.89,0,0
843,2010,2,5,2,42.0,-19,-4.0,1028.0,cv,0.89,0,0
847,2010,2,5,6,90.0,-13,-7.0,1029.0,cv,0.89,0,0
848,2010,2,5,7,101.0,-12,-7.0,1030.0,cv,1.78,0,0
851,2010,2,5,10,103.0,-14,-4.0,1031.0,cv,1.79,0,0
855,2010,2,5,14,68.0,-14,-1.0,1029.0,cv,1.79,0,0
873,2010,2,6,8,64.0,-13,-7.0,1033.0,cv,0.89,0,0
891,2010,2,7,2,69.0,-7,-5.0,1025.0,cv,0.89,8,0
892,2010,2,7,3,65.0,-7,-5.0,1025.0,cv,1.78,9,0
894,2010,2,7,5,77.0,-7,-6.0,1024.0,cv,0.89,0,0
900,2010,2,7,11,80.0,-6,-4.0,1023.0,cv,0.89,0,0
901,2010,2,7,12,100.0,-6,-3.0,1023.0,cv,1.78,0,0
902,2010,2,7,13,105.0,-7,-3.0,1022.0,cv,2.67,0,0
903,2010,2,7,14,118.0,-7,-3.0,1021.0,cv,3.56,0,0
907,2010,2,7,18,164.0,-7,-4.0,1020.0,cv,0.89,0,0
911,2010,2,7,22,156.0,-5,-3.0,1022.0,cv,0.89,0,0
913,2010,2,8,0,178.0,-6,-4.0,1021.0,cv,0.89,0,0
914,2010,2,8,1,187.0,-6,-5.0,1020.0,cv,1.34,0,0
917,2010,2,8,4,197.0,-6,-5.0,1019.0,cv,0.89,0,0
924,2010,2,8,11,159.0,-5,-1.0,1019.0,cv,0.89,0,0
925,2010,2,8,12,169.0,-5,0.0,1019.0,cv,2.68,0,0
